time,close
1.0,125.884
2.0,126.364
3.0,126.996
4.0,128.888
5.0,127.875
6.0,128.385
7.0,128.38
8.0,128.132
9.0,127.197
10.0,128.422
11.0,130.811
12.0,129.824
13.0,130.176
14.0,130.124
15.0,129.094
16.0,130.174
17.0,130.521
18.0,130.307
19.0,130.42
20.0,129.958
21.0,128.31
22.0,129.228
23.0,129.092
24.0,129.343
25.0,128.235
26.0,127.82
27.0,127.895
28.0,127.891
29.0,126.848
30.0,127.254
31.0,127.072
32.0,127.084
33.0,127.599
34.0,128.693
35.0,130.156
36.0,129.877
37.0,130.815
38.0,131.895
39.0,132.63
40.0,134.24
41.0,134.37
42.0,134.386
43.0,134.431
44.0,135.452
45.0,133.838
46.0,132.215
47.0,134.935
48.0,135.056
49.0,136.662
50.0,136.226
51.0,134.957
52.0,135.091
53.0,135.478
54.0,136.168
55.0,136.14
