Day,close
1,107.863
2,108.093
3,108.736
4,108.6
5,108.916
6,109.336
7,109.067
8,109.29
9,109.191
10,109.085
11,108.576
12,108.833
13,108.623
14,109.701
15,109.457
16,109.341
17,109.238
18,108.884
19,109.216
20,108.79
21,108.955
22,108.765
23,108.77
24,109.142
25,109.837
26,109.834
27,109.557
28,109.489
29,109.568
30,110.303
31,109.521
32,109.254
33,109.481
34,109.633
35,109.321
36,109.651
37,110.075
38,110.059
39,110.701
40,110.232
41,110.21
42,110.319
43,110.661
44,110.951
45,110.878
46,110.78
47,110.605
48,110.54
49,111.103
50,111.523
51,111.016
52,110.982
53,110.615
54,110.617
55,109.757
56,110.105
57,110.353
58,110.632
59,109.948
60,109.841
61,110.071
62,109.453
63,109.855
64,110.294
65,110.158
66,110.545
67,110.381
68,109.789
69,109.919
70,109.48
71,109.679
72,109.314
73,109.024
74,109.48
75,109.78
76,110.224
77,110.334
78,110.581
79,110.437
80,110.438
81,109.598
82,109.265
83,109.585
84,109.764
85,109.764
86,109.771
87,109.688
88,109.679
89,109.982
90,110.08
91,109.845
92,109.917
93,109.994
94,110.023
95,109.929
96,109.682
97,109.842
98,110.285
99,110.263
100,109.734
101,109.889
102,110.001
103,109.689
104,109.366
105,109.743
106,109.96
107,109.385
108,109.21
109,109.801
110,110.323
111,110.743
112,111.009
113,111.507
114,111.977
115,111.273
116,111.061
117,110.918
118,111.466
119,111.42
120,111.62
121,112.227
122,113.324
123,113.605
124,113.25
125,113.673
126,114.255
127,114.317
128,114.381
129,114.333
130,114.001
131,113.472
132,113.709
133,114.15
134,113.807
135,113.561
136,113.999
137,113.996
138,113.962
139,114.019
140,113.755
141,113.385
142,113.226
143,112.865
144,113.882
145,114.067
146,113.896
147,114.137
148,114.82
149,114.111
150,114.253
151,114.009
152,114.872
153,115.128
154,115.401
155,115.36
156,113.212
157,113.533
158,113.142
159,112.775
160,113.187
161,112.797
162,113.486
163,113.57
164,113.691
165,113.461
166,113.366
167,113.578
168,113.75
169,114.052
170,113.698
171,113.702
172,113.624
173,114.085
174,114.112
175,114.41
176,114.239
177,114.883
178,114.819
179,114.961
180,115.051
181,115.096
182,115.323
183,116.123
184,116.1
185,115.843
186,115.524
187,115.191
188,115.296
189,114.632
190,114.16
191,114.186
192,114.61
193,114.584
194,114.323
195,114.112
196,113.66
197,113.98
198,113.859
199,114.668
200,115.356
201,115.22
202,115.13
203,114.682
204,114.435
205,114.982
206,115.193
207,115.092
208,115.544
209,115.537
210,115.998
211,115.414
212,115.527
213,115.592
214,115.447
215,114.911
216,115.015
217,114.721
218,115.07
219,115.014
220,115.53
221,115.514
222,114.974
223,114.903
224,115.52
225,115.46
226,114.823
227,115.287
228,115.669
229,115.864
230,116.128
231,117.266
232,118.189
233,118.287
234,118.759
235,118.586
236,119.142
237,119.468
238,120.799
239,121.136
240,122.359
241,122.081
242,123.891
243,122.886
244,121.82
245,121.688
246,122.538
247,122.758
248,123.591
249,123.783
250,123.966
251,124.277
252,125.389
253,125.396
254,125.65
255,125.884
256,126.364
257,126.996
258,128.888
259,127.875
260,128.385
261,128.38
262,128.132
263,127.197
264,128.422
265,130.811
266,129.824
267,130.176
268,130.124
269,129.094
270,130.174
271,130.521
272,130.307
273,130.42
274,129.958
275,128.31
276,129.228
277,129.092
278,129.343
279,128.235
280,127.82
281,127.895
282,127.891
283,126.848
284,127.254
285,127.072
286,127.084
287,127.599
288,128.693
289,130.156
290,129.877
291,130.815
292,131.895
293,132.63
294,134.24
295,134.37
296,134.386
297,134.431
