time,close
1.0,1.01517
2.0,1.0023
3.0,1.00439
4.0,1.01266
5.0,1.0262
6.0,1.02216
7.0,1.02008
8.0,1.02688
9.0,1.03102
10.0,1.03808
11.0,1.03916
12.0,1.02966
13.0,1.02847
14.0,1.02883
15.0,1.02414
16.0,1.02297
17.0,1.02195
18.0,1.02666
19.0,1.03193
20.0,1.03014
21.0,1.02112
22.0,1.02248
23.0,1.0164
24.0,1.0135
25.0,1.0169
26.0,1.01631
27.0,1.01598
28.0,1.01334
29.0,1.00981
30.0,1.01812
31.0,1.02055
32.0,1.0188
33.0,1.01856
34.0,1.02733
35.0,1.02941
36.0,1.03264
37.0,1.03309
38.0,1.02778
39.0,1.02384
40.0,1.02315
41.0,1.02044
42.0,1.02651
43.0,1.0273
44.0,1.02974
45.0,1.03265
46.0,1.03815
47.0,1.04229
48.0,1.04915
49.0,1.0483
50.0,1.04498
51.0,1.04119
52.0,1.04262
53.0,1.0454
54.0,1.04819
55.0,1.03399
56.0,1.02961
57.0,1.02897
58.0,1.03225
59.0,1.03114
60.0,1.02741
61.0,1.02864
62.0,1.02742
63.0,1.03178
64.0,1.02974
65.0,1.02612
66.0,1.02934
67.0,1.03191
68.0,1.03817
69.0,1.04128
70.0,1.0485
71.0,1.0409
72.0,1.03859
73.0,1.03793
74.0,1.04333
75.0,1.03837
76.0,1.01979
77.0,1.0178
78.0,1.01676
79.0,1.01787
80.0,1.01566
81.0,1.0114
82.0,1.01161
83.0,1.01169
84.0,1.00713
85.0,0.99679
86.0,1.00077
87.0,1.00043
88.0,1.00166
89.0,0.99408
90.0,0.98855
91.0,0.98961
92.0,0.98825
