mounth,close
1,107.749
2,107.561
3,107.154
4,107.779
5,107.926
6,105.856
7,105.902
8,105.439
9,104.655
10,104.397
11,103.251
12,104.742
13,106.583
14,110.716
15,109.336
16,109.557
17,111.103
18,109.679
19,109.994
20,111.273
21,113.999
22,113.142
23,115.096
24,115.13
25,114.974
26,121.688
27,129.824
28,128.693
29,136.157
