time,open,high,low,close,%K,%D
1640800800,1803.967,1805.67,1801.9,1804.298,26.75720805491805,25.54694422790058
1640815200,1804.406,1805.51,1800.1,1803.326,31.794396984220405,23.91818232923361
1640829600,1803.26,1803.58,1797.1,1798.54,36.65643595364863,26.42638896337986
1640844000,1798.41,1802.25,1795.3,1800.054,43.0804885687442,31.8691705995465
1640858400,1800.075,1804.72,1797.9,1802.71,42.23488881929233,36.104683676164676
1640872800,1802.9,1814.218,1800,1813.428,47.953648606326524,40.34397178644637
1640887200,1813.35,1817.13,1811.6,1814.74,56.05754389648539,45.19660116889936
1640901600,1813.59,1819.02,1813.59,1816.3,67.87267987101299,51.43984995237224
1640916000,1816.45,1819.31,1813.6,1818.604,80.05498773104985,58.83474978483336
1640930400,1818.5,1820.22,1814.4,1817.94,89.60042193981008,68.30785640893691
1640944800,1817.966,1827.435,1816.8,1824.204,92.20978457753672,77.15908360317896
1640959200,1824.245,1827.37,1819.5,1826.4,94.16511260035281,84.78059734395245
1640973600,1826.39,1830.36,1823.5,1829.24,95.39696614542827,90.2854545988355
1641160800,1827.21,1831.65,1826.5,1828.81,94.28971716375784,93.13240048537709
1641175200,1828.69,1828.86,1822.8,1825.338,92.2453862539523,93.66139334820555
1641189600,1825.1,1826.68,1820.3,1826.44,91.03001864748163,93.42544016219452
1641204000,1826.22,1827.54,1805.4,1806.99,77.99086890500193,90.19059142312435
1641218400,1806.95,1810.93,1797.3,1799.568,59.850372710727086,83.0812727361841
1641232800,1799.55,1804.528,1797.9,1801.028,43.583555478136866,72.94004039905991
1641247200,1801.106,1806.86,1800.2,1804.8,31.423270043588055,60.77561715698706
1641261600,1805.08,1807.1,1802,1805.386,18.997850831616454,46.36918359381403
1641276000,1805.395,1807.36,1800.7,1805.674,17.441630276564776,34.2593358681266
1641290400,1805.56,1808.6,1798.2,1807.21,21.891120815138304,26.66748548900884
1641304800,1807.132,1816.728,1805.3,1813.56,29.187772925764143,23.788328978534302
1641319200,1813.45,1815.4,1812.4,1814.086,34.59446870451234,24.42256871071916
1641333600,1814.3,1815.39,1811.5,1815.226,40.323726346433794,28.68774381368263
1641348000,1815.09,1816.5,1813,1815.715,46.17001455604073,34.433420669577814
1641362400,1815.75,1820.13,1811.4,1817.71,53.33409378960712,40.72201526447158
1641376800,1817.704,1827.89,1814.1,1825.475,62.28789751288904,47.342040181896564
1641391200,1825.39,1829.68,1819.2,1822.4,68.01778666580663,54.02670377415542
1641405600,1822.83,1824.91,1807.3,1810.03,65.44340152141945,59.050638809152545
1641420000,1810,1812.19,1805.9,1810.107,62.403611956515896,62.29735828924758
1641434400,1810.09,1810.25,1802.1,1802.975,52.50319033971677,62.13117759926952
1641448800,1802.91,1803.8,1792.6,1794.73,35.23100502205385,56.71979910110248
1641463200,1794.73,1807.15,1786.1,1788.43,20.796905706361194,47.275622909213396
1641477600,1788.1,1795.54,1786.2,1790.6,14.99919489444182,37.18678158381787
1641492000,1790.82,1791.42,1785.4,1790.688,9.70544205550801,26.647147603616286
1641506400,1790.795,1792.6,1789,1790.56,9.002393188932965,17.946988173459523
1641520800,1790.548,1793.19,1788.7,1790.578,10.192279262550878,12.939243021558932
1641535200,1790.59,1793.84,1786.7,1793.02,12.564715836847666,11.292805047656225
1641549600,1792.97,1796.15,1782.3,1789.05,13.348851832404472,10.962736435248754
1641564000,1789.135,1796.73,1785.7,1795.8,16.659021621874967,12.353452348522145
1641578400,1795.8,1798.65,1793.2,1795.92,20.07765960732626,14.568505632200806
1641765600,1794.459,1796.74,1790.19,1794.86,23.634235954596427,17.256896970609915
